,Unnamed: 0,»ç¿ëÀÚ¸í,´ñ±Û,ÇÑ±¹ÀÎ
0,0,celineality,3:41 killing point,1
1,1,MyBreakTime,Whole time legend,0
2,2,Janica Louis Naganga,"Person want bigbang to comeback?

??",0
3,3,Mike Way,"Why Bigbang are called The Kings of Kpop?? Here we go:

1. Bigbang is one of the first group to start writing and producing their own music. G-Dragon is the first idol to do it. And not only writing songs but he produced such a hit song(Lies-Bigbang). After that agencies started giving their idols chance to do it.

2.  Bigbang is the first one to have official lightstick.The first official lightstick in kpop was designed by G-Dragon. It was called Bang Bong. Since then all fandoms followed it and now every fandom has their own lightstick.

3. T.O.P is the first underground rapper turned idol in kpop and the first rapper in kpop to have a deep voice. After that it became a trend for every group to have a rapper with a deep voice.

4. Bigbang is the first boy group to dye their hair bright unusual colors like pink, blue, neon green, orange. G-Dragon made it trend, starting from blonde there is no color he hasn't tried. Now every kpop idol will color their hair differently in every comeback.

5. Bigbang is the first group that members have solo careers without disbanding. Before bigbang, groups always disbanded or the member just left if one of them wants to pursuit their own career. But Bigbang showed them you can have solo career while still being in the group. Taeyang and Gdragon have won daesangs(main awards) for their solo career and always topped the charts including Billboard. Daesung was so popular in Japan (more popular than bigbang itself lol)

6. And to this day G-Dragon is still the only soloist from idol groups to win Artist of the Year/Daesang.

7. In 2014, G-dragon won World's Best Entertainer Of The Year and World's Best Album at World Music Awards,
and the first kpop act to have two albums on the Billboard 200.

8. Seungri once had his own vocal and dance academy that have trained many idols such as J-Hope from BTS, Mijoo from Lovelyz, Jinwoo from Winner, Zelo from B.A.P , Hyung Won from Monsta X, Hye Lin from EXID and many other artists.

9. First kpop artist to collaborate with western artist. G-Dragon's collaboration with Flo Rida back in 2009.

10. First kpop group to win an international award. In 2011, they won MTV EMA. They beat Britney Spears that day. They also won World's Best Group, World's Best Live Act and World's Best Video Of The Year (Fantastic Baby) in 2014 World Music Awards.

11. They were able to enter U.S Billboard Charts 200 (2012) with a full korean album making them the first Kpop group to achieve that without any promotion in U.S

12. They introduced the concept of EP(Mini Album) to kpop.

13. They set the fashion trends because they were the inspiration for many fashion designers.

14. G-Dragon is the one who made kpop idol airport fashion trend. He also become the first asian
to be a global brand ambassador of fashion brand (Chanel)

15. They are also called the kings of live performances coz their stage presences were insane. When you impressed by watching their MVs, trust me their live performances are better !!! 

16. And until now Bigbang still trending everyday in Melon (Biggest music streaming platform in korea) without doing anything and not releasing any music. Their last song before hiatus titled ""Flower Road"" broke many records and topped all the charts in korea without a single promotion and they were already in the military when the song was released.

17. Today they are still the best selling kpop group in China's history despite being 4 years of hiatus. 

18. They are your idols' idols, many idols wanted to be idols because of them. Big Bang may not be your bias, but they're your bias' bias

19. They have conquered two generations since their debut in 2006(2nd gen) and when they comeback in this 4th gen, imagine the impact.

Their influence and impact in kpop is heavy.They are the blueprints of kpop that is why they are called the KINGS.",0
4,4,Sarah Lee,The time when KPOP was not like a dance contest. ??,0
5,5,Navraty Putri Handayani,"Bigbang be like : Dancing is a dancer's job, we just want to having fun on stage :)",0
6,6,MamuRa DaiKi,I think there will never be any K-pop group like BigBang. Who else agrees?,0
7,7,Karen Bebiera,I blame 2ne1 and Bigbang for setting my standards too high for this generation new Kpop group. ?????¡Ï?????,0
8,8,MiniCraftyClub,"Other fandoms : please don't date Oppa 
VIP: please date someone I'm begging you",0
9,9,Mikayla Holt,"When they have a comeback, i can¡¯t wait to watch all the new fans understand what they¡¯ve missed out on during their hiatus",0
