,0,1,2,3,4,5,6
0,https://yt3.ggpht.com/9fGvbKwU_SBBKDHO9ZuvGteqwHwrw0wrh8EdycyD4RvFlhFsVC10pldUJ7pOcAsfjQPwmqoXan4=s48-c-k-c0x00ffffff-no-rj,줄게내갤럭시,http://www.youtube.com/channel/UChn3xfkEuJ8PJCbuMpTYxyQ,"옛날 오버워치 저렙대: 순수하고 귀여운 캐릭터들이 즐겁게 게임하는곳
요즘 오버워치 저렙대: 핵과 부계정이 판치고 순수함 따위는 찾아볼수없는 쌉 고인물들의 또다른 휴식처",2104,1년 전(수정됨),"[['저 5월 1일에 오버워치 시작했는데 팀이 못한다고 뭐라 하네요 그게 욕먹을 이유인지 모르겠어요', '나리', 'http://www.youtube.com/channel/UCQS4TgoUnPb15bXpkX-OpTQ', 0, 'https://yt3.ggpht.com/ytc/AAUvwni1uU4subFALykPedqyjsS26csWZdGEZoDA5UE9=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['ㅇㅈ 나 얼마 전 깔았는데 다 너무 잘해서 놀램', '사탕체리붑부', 'http://www.youtube.com/channel/UChaAbOl_pPaMXwPTNhLivBw', 0, 'https://yt3.ggpht.com/ytc/AAUvwngUEw5ZVtKSjjv9AT2uEOZLXq4HpUAaadPUvCchYQ=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['@조희성 ㅎㅇ?', '참참CM', 'http://www.youtube.com/channel/UC2vrY4BT3K6P7-D1K0cC1pw', 0, 'https://yt3.ggpht.com/ytc/AAUvwni5ApqRHpsZWS7SzMqJ_rUCz0u9GACEIiqwNv64xA=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['@참참CM 니 왜 여기있냐', '조희성', 'http://www.youtube.com/channel/UCCD9k-goti2khH4HpavGIjA', 0, 'https://yt3.ggpht.com/ytc/AAUvwniBL_8glXhHdYeo5HwRBwi05CHmuMKFtlbyXmF-cH8=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['오버워치 즐기는법 =  힐러인성질하기', '잔잔', 'http://www.youtube.com/channel/UCA0RtWOvkBQ97tZKnT3n0OQ', 0, 'https://yt3.ggpht.com/ytc/AAUvwnh4e_AUx4VUtYrbXUe36anyZKrPHYrNNS3vuw=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)']]"
1,https://yt3.ggpht.com/ytc/AAUvwniBM2raci987U0WH-fDjm_4Mh6TofLZPZiDAA=s48-c-k-c0x00ffffff-no-rj,김상윤,http://www.youtube.com/channel/UC1mT7gKbnzVYyGYYjSGyMmQ,다 왤케 서든에서 넘어온 사람들 같음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ점사도 그렇고 솔져 앉는 것도 그렇곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,431,1년 전,"[['ㅋㅋㅋ', '닭고기', 'http://www.youtube.com/channel/UCHaaCJqLwf--46yq3h4k--w', 0, 'https://yt3.ggpht.com/ytc/AAUvwnhrDXQzmsSRJA3GWLP31EdXMRWu-2rAfw83_tz5=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['씁!', '킴buie', 'http://www.youtube.com/channel/UCz_eoy431EESpsCMoF6-_vg', 0, 'https://yt3.ggpht.com/ytc/AAUvwniUutWtUavNM5j2fu3WxQ_H4NKbgwX9C_nZV5oW=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['@커피한잔할래요 저도 오늘깔았어여', '방시', 'http://www.youtube.com/channel/UCXqgpQKwkGwXOPJ2bSqgmmg', 0, 'https://yt3.ggpht.com/ytc/AAUvwnibsRfY18DlBoultcxCmU68Yz83gT2vBBaGnA=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['저도 어제깔았는데  서든에서넘어왔음', '커피한잔할래요', 'http://www.youtube.com/channel/UCzoVF2hEdFVIiWGC_rJOQ-Q', 4, 'https://yt3.ggpht.com/_I66etqSIvI1ggMzBJ3M0qzfvj_rVZvwFt_FdnBab12v1VtqJRxgEk3NDAxZBl2M5TGTOeZIyQ=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['글옵만 하다가 옵치하니까 적응안됨ㄷㄷ', '시.공.조.아', 'http://www.youtube.com/channel/UC1YkxeAEJCGYdAc14PjtAcg', 1, 'https://yt3.ggpht.com/ytc/AAUvwngwD8EqFOUIEmZbHH_y5jONawZIKAr97MKwmtw6=s48-c-k-c0x00ffffff-no-rj', '1년 전']]"
2,https://yt3.ggpht.com/ytc/AAUvwnhXSGlrGcbTTmY03Hkv5MO9SYt-VRKK2UwhgXWalA=s48-c-k-c0x00ffffff-no-rj,튜트의 게임채널,http://www.youtube.com/channel/UC7FT1dIO6xOAZR13NnXFeYA,"옵치는 초창기때가 ㅈㄴ 꿀잼이었어

나도 할줄 몰라 근데 상대도 할줄도 몰라 
결론 에헤라이 스킬을 막쓰고 궁도 써보고 뒤져도보고 그랬었지 초창기때는...
글구 에임이 많이 귀여웠어 초창기때ㅎㅎ",786,1년 전(수정됨),"[['물론 브실골은 여전히 귀여운 곳이지...', '생갈치1호의행방불명', 'http://www.youtube.com/channel/UCQJHdx1qvZs_K8GLpttxTkw', 0, 'https://yt3.ggpht.com/ytc/AAUvwngi3QzIJ-XsUX_YXXymGtpm7NC2qeuYKD66FzYUtg=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['뭔소리야 처음부터 핵 판쳐서 2018년에 접었는데 2년유저였는데 옵치 서든하고 콜옵쪽 유입 많아서 에임좋은분들 개많았고\n메이코도 ㅈㄴ많아서 접었는데\n무슨소리 ㅋㅋ 잼민이 초창기때부터 한척하네\n그때 둠피 없어서 메이코 못잡고 그냥 발발버리다가죽는게 일반적이였음\n벨런스 개판이였는데ㅋㅋ2016 사전예약한 유저로써 ㅋㅋ 미치겠네 그때 핵 풀려서\nEx도더스핵(디코 비밀핵)애들이 ㅈㄴ 써서 접었는데 2019~2020년에 한거 아님?\n 초창기때 밸런스 패치 ㅈ망인데', '파란 날개와 푸른 부리를 가진 독수리', 'http://www.youtube.com/channel/UChPKME2INxQQWTWOt44FHTA', 1, 'https://yt3.ggpht.com/ZgeJtbJjSQoMtAasyZQHBkGFrM6YHgm9MXcMq8LwinR5yB_VxCHmgmPFuTrVyyZ9Mazxik86qg=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['하지만 내 에임은 아직도 귀여운걸?', 'exact flame', 'http://www.youtube.com/channel/UC6hujkgxZzHeHhUcO4FfWog', 0, 'https://yt3.ggpht.com/ytc/AAUvwniV1H7kqYpH9MZF-GxbOs4huG0mNVHQgA6VS2epyQ=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)'], ['@movie YEE ?', '건민', 'http://www.youtube.com/channel/UCmTs1tZ82Q0GcUs6M5_fgyg', 0, 'https://yt3.ggpht.com/ytc/AAUvwnj6X1sjqrzd3MpHrDoJXvO3s9hOTbLVFLRoww=s48-c-k-c0x00ffffff-no-rj', '1년 전(수정됨)']]"
3,https://yt3.ggpht.com/ytc/AAUvwniWEDgnfxwBRgRRwmbhQMQAHe05lKtAR9-eNvDR=s48-c-k-c0x00ffffff-no-rj,Hidden CHANNEL,http://www.youtube.com/channel/UCyOWUS4xD4Wwi-8T1rJJ7TA,5:44 너무 귀여운거 아니냨ㅋㅋㅋㅋ ㅠㅠ,417,1년 전,"[['특히 편집이 더 귀여움 주거어어어', '뉴비맨', 'http://www.youtube.com/channel/UCDD_jKp0B295CDSNGdivXDA', 0, 'https://yt3.ggpht.com/2VSedaOeNiZvJwzgH6_LXz137eHW20cltGmYxx_Ug0GiEbDZQMIsC3Cn274cfzKz8RwfmdhZUSM=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['팀?적?팀?적? 적! 주거어어', '궁예의 똥', 'http://www.youtube.com/channel/UCoFG4aCIxlobjBFA1E20Qzg', 3, 'https://yt3.ggpht.com/ytc/AAUvwngtft0ZjDS64T4SKMRXupWHXLlw7eRFYLQB37N42g=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['또 알려달라는게 귀여움ㅋㅋㅋ', '최성준', 'http://www.youtube.com/channel/UCJQaEGJbELQVWikJjHoI8Cg', 5, 'https://yt3.ggpht.com/ytc/AAUvwnj2WT7sXRxkDFFSe_ddjzqzt-EThgdeyGgsBxj8=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['가만히 서서 1초 생각하는게 너무 귀여움ㅠㅠㅠㅠ', '생목', 'http://www.youtube.com/channel/UCRJexpIT7NC2qV70DRhd_jA', 23, 'https://yt3.ggpht.com/ytc/AAUvwngBRVjsrj5H0KBZjYkykqz-nBwaPToZ5i3v8Aep=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['갠적으로 이게 제일 귀여움ㅋㅋ', 'Josephine M', 'http://www.youtube.com/channel/UCSgEwtVZfUtwZdgETI7WaAQ', 28, 'https://yt3.ggpht.com/ytc/AAUvwnjxUINleRqLpQNQwRxk_KCc_yhsCjmU_3S_Lky5=s48-c-k-c0x00ffffff-no-rj', '1년 전']]"
4,https://yt3.ggpht.com/ytc/AAUvwnjdpjbmjBPbNIVoRaLw3AR-TpJIy068RRkLCQZVTw=s48-c-k-c0x00ffffff-no-rj,RIM RIM,http://www.youtube.com/channel/UC1hdjo74xcj5tqNARIyIfHw,5:44 미친 여기 너무 귀여유ㅓㅋㅋㅋㅋㅋㅋㄴ미쳤나봨ㅋㅋㅋㅋㅋ귀여웤ㅋㅋㅋ,137,1년 전,[]
5,https://yt3.ggpht.com/ytc/AAUvwngCvEnEIjJrzpJMQUL6MsU9gmCDwwm0SZkvSZgb=s48-c-k-c0x00ffffff-no-rj,히힣,http://www.youtube.com/channel/UCUwuEOwL5v0pEWPwbDDEW7A,모이라 힐이랑 딜 모르는거 세상 귀엽다 ㅋㅋㅋㅋ 뭐가 더 세냐고 물어보고있어 ㅋㅋㅋㅋㅋ 아 귀여워,1405,1년 전,"[['난 야타 평타가 힐인줄 알았는데 .. 그리고 아나 힐은 수류탄만 되는 건줄 알았음 ..', '윤지', 'http://www.youtube.com/channel/UC9kdXoA5wmDMFWFpeTJDcKQ', 0, 'https://yt3.ggpht.com/ytc/AAUvwng3_mZGB6OgwWKBvrvLe5qDB0IU4f8HQxpL-H_lIg=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['난 그런적 있는데', '날민트 Raw mint', 'http://www.youtube.com/channel/UCga2pbAPpKAfogC8voBwY0w', 0, 'https://yt3.ggpht.com/ytc/AAUvwnhSraKj_hYqZ0Lq1etVSAqbghynom2TPeAUX8Xz=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['실제론 뚱뚱하고 찐따 옷만입고 있는 방구석 아재', '그대를 보는 빙구씨', 'http://www.youtube.com/channel/UCHUgJ-Uvkq3aZtBT9AXi-5A', 0, 'https://yt3.ggpht.com/ytc/AAUvwng_rfAp8QgmZjVA6xo4z1y-3udB0dRifB5uGce5=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['7:43?', '띠띠띠띠', 'http://www.youtube.com/channel/UC9dMthVz6lVNOjhOKQR-XwA', 0, 'https://yt3.ggpht.com/ytc/AAUvwnhlPa4xhTo7u1HzVeY0OMM8zeaRGCDfqjtBlxzj=s48-c-k-c0x00ffffff-no-rj', '1년 전']]"
6,https://yt3.ggpht.com/ytc/AAUvwngOobEdjfVHR4e6VbFlb4tasvTdSJ5alWsKlA=s48-c-k-c0x00ffffff-no-rj,글댓,http://www.youtube.com/channel/UC2s_ogmDJ8pSjn6OaARrtkg,4:50 자갈길에 트럭타고 가는 느낌이네 ㅋㅋㅋㅋㅋ,98,1년 전(수정됨),[]
7,https://yt3.ggpht.com/ytc/AAUvwngxfBxyt1qTdzhPQjo_pW7xk17tN2D_THx0rAhy=s48-c-k-c0x00ffffff-no-rj,우스케코,http://www.youtube.com/channel/UCg5n2RMvoKJqk1UeLiZXZPQ,5:45 모이라 개귀엽네 ㅋㅋ,24,1년 전,[]
8,https://yt3.ggpht.com/ytc/AAUvwnh0zz3NN60CjgfOt73CBoeks_jq4pnq12i3ejUwDA=s48-c-k-c0x00ffffff-no-rj,싸업새처리반,http://www.youtube.com/channel/UCZazweCS9Gh-og0DoKgjeIg,4:30 진짜 괴로워 보인다...ㅋㅋㅋ,165,1년 전,[]
9,https://yt3.ggpht.com/ytc/AAUvwniiCVaemIzHPlc-pEW76aU_D5aDWg3lcmAClIJsXQ=s48-c-k-c0x00ffffff-no-rj,공부중입니다,http://www.youtube.com/channel/UCeTvuxkWWZQqlzCm09DX1vw,"9:20 위도우 초보 양학하는 주제에 ""제대로해?"" ㅋㅋㅋㅋ",167,1년 전,"[['@이채현 위메요', '이정우', 'http://www.youtube.com/channel/UC8N_o6dv4sz1KYuW2olzaQg', 0, 'https://yt3.ggpht.com/ytc/AAUvwngST9n793mTYavLmx1uLhUtQHBQHwACIZQCAPJOng=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['@JGH H 저요?', '이채현', 'http://www.youtube.com/channel/UCyL5h3Viada8w1nZQFSpKHw', 0, 'https://yt3.ggpht.com/ytc/AAUvwngVIsNsgK24ZBbFJCJD7cBi9l7Z_6MCuFE4on9dFg=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['인터넷상에서 세게 나오는데 말투가 좀 그러면 찐따맞음 ㅋㅋㅋ 어쩔수없음', 'JGH H', 'http://www.youtube.com/channel/UCr9YHcqIy0dKbMN-iY7MEZQ', 6, 'https://yt3.ggpht.com/ytc/AAUvwnjofHVrsUukV4FMyg3K5ZVRvrhqXmIduJ1R3r1T=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['@서재 힝', '이채현', 'http://www.youtube.com/channel/UCyL5h3Viada8w1nZQFSpKHw', 0, 'https://yt3.ggpht.com/ytc/AAUvwngVIsNsgK24ZBbFJCJD7cBi9l7Z_6MCuFE4on9dFg=s48-c-k-c0x00ffffff-no-rj', '1년 전'], ['@이채현 ㅋㅋㅋ', '서재', 'http://www.youtube.com/channel/UCbQ07gwi3Ik_xK7kGYcFhiA', 0, 'https://yt3.ggpht.com/ytc/AAUvwnjuSiBk_0Pv9uSa2kk0_3tl03g8H0ctqLZBI0z9Gg=s48-c-k-c0x00ffffff-no-rj', '1년 전']]"
